# token,w_level
मौजूद,2
उपस्थित,2
स्तंभ,2
स्तंभित,3
सर्वमत,2
शोभा-यात्रा,2
ग्रीष्म,2
शीत,2
वसंत,1
वर्षा,1
सप्ताह,1
दैनिक,2
मासिक,1
साप्ताहिक,1
वार्षिक,1
हड़बड़ाना,1
विलास,3
उत्सव,2
त्योहार,2
उच्चारण,2
अपकार,3
हानि,1
नुकसान,1
अवकाश,2
छुट्टी,1
अंतराल,2
अंतर(२),1
दुराचार,2
निरपराध,2
निषेध,3
सुगम,3
आसान,1
बहिष्कार,3
अश्रु,2
अंकुर,1
अधीन,2
परतंत्र,3
मुक्त,2
पराधीन,2
स्वाधीन,2
स्वतंत्र,2
आज़ाद,1
अभिवादन,2
अधर,2
आँकड़ा,2
अनुराग,2
जगमग,1
विराग,2
विरक्ति,3
अधीर,2
बेताब,2
अवधि,2
इन्द्रिय,2
अक्षरसः,3
अत्यंत,2
कलुषित,3
बेशर्म,1
मलिन,2
कौड़ी,1
कौड़ी(२),1
बयान,2
खंडन,2
खुरदरा,1
घुड़की,2
चिर,2
दायरा,2
घेरा,1
धरा,2
निहित,3
समाहित,3
पटल,2
बदतर,2
बड़बड़ाना,1
बुदबुदाना,1
चेतना,2
अनुकूल,2
विघ्न,3
उत्तम,1
निद्रा,2
नींद,1
सोना,1
भौंरा,1
मधुकर,3
राग,1
अड़ना,1
ठहरना,1
अभिन्न,2
चक्कर(२),1
चक्कर(३),1
झोंका,1
समीर,3
चमकना,1
दमकना,2
आकर्षण,2
सौंदर्य,3
निखर,2
निखर(२),2
बयार,2
वायु,1
हवा,1
अठखेली,2
चहचहाना,1
मंडराना,1
महोत्सव,3
पौराणिक,3
उपज,1
शासन,2
याचना,2
त्याग,2
तत्काल,3
सौंप,1
जाल,1
जाली,1
मेल,1
फुलवारी,1
क्यारी,1
मात,1
पराजित,2
हू-ब-हू,1
ज्यों-का त-यों,1
रोजमर्रा,2
शक्ल,2
पंक्ति,2
मंजिल,2
याद,1
सबूत,2
भलाई,1
बुराई,1
लाज,1
नहर,1
नम्र,2
द्वारा,1
दशा,2
हालत,1
उम्र,1
चरण,1
खराब,1
बदनाम,2
गूंज,2
गुण,1
झील,1
पक्का,1
मजबूत,1
खीज,2
चिढ़,1
झूमना,1
काँपना,1
फड़फड़ाना,1
कंपन,2
कण,1
धूल,1
धारा,1
निहारना,1
ताकना,1
निपुण,2
माहिर,2
निर्माण,1
निर्माता,1
बनाने वाला,1
पुरस्कार,1
प्रबंध,2
जांच,1
पूर्व,1
प्रसिद्ध,1
दोबारा,1
अंग,1
प्रशंसक,2
प्रहार,2
स्थिति,2
परिवहन,3
प्रकट,1
फुर्सत,1
फेरना,1
बेहद,1
लालच,1
कड़वा,1
संयोग,2
मास,1
अदभुत,2
धोखा,1
करुणा,1
अहसास,1
शेष,2
संकेत,2
कर(२),1
समय,1
भाव,1
बेशकीमती,2
प्रसन्नता,1
हर्ष,2
सुंदर,1
बारह,1
मोल,1
लक्ष्य,2
दुर्लभ,3
भींगा,1
सूखा,1
रफ़्तार,2
हथकड़ी,2
भेंट,1
धीमा,1
दृश्य,2
नज़ारा,1
दुःखी,1
दृष्टि,2
नजर,1
दिवस,1
दिशा,1
दुखिया,1
दोष,1
हैरान,1
प्रशंसा,1
धन,1
धमकी,1
ध्यान,1
नदी,1
नौजवान,1
निकट,1
नौकरी,1
नाप,1
निशाना,1
नन्हा,1
नन्ही,1
बेफिक्र,2
नर्म,1
नज़र,1
नक़ल,1
नकली,1
पछतावा,2
पग,1
पग-डंडी,1
परीक्षा,1
प्रयोग,1
प्रसन्न,1
पत्थर,1
प्रतिभा,2
प्रतियोगिता,2
प्रारम्भ,2
शुरू,2
पालकी,1
पकवान,1
पलट,1
परन्तु,1
लेकिन,1
मगर,1
प्रदेश,1
परवरिश,2
दोपहर,1
शाम,1
सायंकाल,2
रात्रि,2
रात,1
प्रतीक,2
प्रगति,3
मुलायम,1
प्रेम,1
राह,1
रास्ता,1
सुबह,1
निर्धन,3
पृष्ठभूमि,3
पृष्ठ,3
पृष्ठ(२),3
पवित्र,1
प्रकृति,2
प्राकृतिक,2
प्रतिदिन,1
प्रयास,2
परिचय,1
पीड़ा,1
व्यथा,3
पाप,1
प्रकाश,1
रोशनी,1
फिसड्डी,2
फैसला,1
प्राचीन,1
पुराना,2
नया,1
नवीन,2
प्यारा,1
बिक्री,1
बेचना,1
बूँद,1
बुद्धि,1
बुढ़ापा,1
बाजू,1
भोजन,1
भजन,1
भंडार,1
भट्ठी,1
भोला,1
सीधा-सादा,1
भावना,2
मांग,1
मेला,1
मुख्य,1
प्रधान,2
प्रमुख,2
मुख,1
महत्व,2
महत्वपूर्ण,2
मरम्मत,2
शर्म,1
मात्रा,2
मौसम,1
राहगीर,2
पथिक,2
राही,1
यात्रा,1
सफ़र,2
मन,1
भरोसा,1
मासूम,2
मिलता-जुलता,1
यात्री,1
पका हुआ,1
रोगी,1
मरीज़,2
बीमार,1
रूचि,2
लचीला,1
वाहन,2
विषय,2
विज्ञान,1
विशाल,1
वस्तु,1
विरोध,1
विभिन्न,2
व्यक्ति,1
वृक्ष,1
पेड़,1
विवेक,2
वैद्य,1
वैद्य-शाला,1
पाठशाला,1
समान,1
सामान,1
सरोवर,2
समुद्र,2
मुसीबत,1
साथ,1
सवेरा,1
भोर,1
सजावट,1
सागर,1
सहायता,1
मदद,1
सहारा,1
सीख,1
साल,1
स्वागत,1
सफलता,1
सुरक्षा,1
बचाव,1
सभी,1
सस्ता,1
खत्म,1
दुनिया,1
स्वच्छ,1
साफ,1
सेहत,1
समस्या,1
परेशानी,1
सीधा,1
रिश्ता,1
स्वभाव,1
शांत,1
शोर,1
हल्ला,1
शरारत,1
बदमाशी,1
बल,1
ताकत,1
शिकार,1
शिक्षक,1
शिकायत,1
शान,1
हरियाली,1
दिल,1
कलेजा,1
हैरानी,1
आश्चर्य,1
आय,2
अमृत,1
इज़्ज़त,1
घमंडी,1
घमंड,1
औकात,2
हैसियत,2
स्थान,1
अनुभव,1
अक्सर,1
बार-बार,1
इत्यादि,2
इलाज,2
कराह,2
कारीगर,2
सेवा,1
सम्मान,1
ज्यादा,1
प्रथम,1
द्वितीय,1
तृतीय,1
चतुर्थ,1
चंचल,1
नटखट,1
छाप,1
चौंकना,1
हक्का-बक्का,1
जोश,1
झट-पट,1
पता,1
ठहर,1
रुकना,1
घर,1
ठहाका,1
जोरदार-हंसी,1
ग्यारह,1
घबराहट,1
त्यौहार,2
अलग,1
चक्कर,1
उछलना,1
चटपटी,1
चट्टान,2
उत्तर,1
आदर,1
अपमानित,1
अंत,1
चर्चा,2
आदेश,1
तैयार,1
तेज,1
तुलना,1
चिपक,1
चिल्लाना,1
चिह्न,2
चीख,1
उदाहरण,1
तीर,1
छाया,1
छोड़कर,1
तीखा,2
जलन,1
जानकारी,2
उदास,1
कमी,1
अलावा,1
जेल,1
अपाहिज,2
उपयोग,2
उलटना,1
ठीक समय,1
ठोस,1
डंडी,1
ढूंढ,1
ढोना,1
अपमान,1
एकता,2
आराम,1
तरीका,1
कठिनाई,1
कठोर,1
अनेक,1
अनमोल,1
उपाय,1
कम,1
अपशब्द,2
आनंद,2
कष्ट,1
कायर,2
अध्यापक,1
कारण,1
अधिक,1
आवाज़,1
आशीर्वाद,1
काल,1
किनारा,1
किन्तु,1
अथवा,1
आंसू,1
कीमत,1
कीमती,1
अचानक,1
अक्षर,2
कूदना,1
आसमान,1
अभ्यास,1
आकार,1
कैद,1
कोना,1
अंतर,1
दिन,1
क्रोध,1
दाना,1
खट्टा-मीठा,1
खदान,2
खराबी,1
खाना,1
खुदाई,1
खुश,1
खुशहाल,2
ख़ुशी,1
खूबसूरत,1
खोज,2
दाग,1
इकट्ठा,2
इज़्ज़त,1
गरजना,1
इलाका,1
गलती,1
इशारा,1
इस्तेमाल,1
दर्द,1
गीला,1
अयोग्य,2
अवसर,2
आहार,1
इरादा,2
कार्यक्रम,2
किस्सा,1
चकित,2
चटपट,1
चना-चबेना,2
चमक,1
चमकीला,1
चमत्कार,2
अत्याचार,2
चारा,1
चिकना,1
झटका,1
झुण्ड,1
तलाश,2
तीर्थ,2
तीर्थयात्री,2
तेरह,1
दया,1
दरबार,1
दरबारी,1
दल,1
दहाड़ना,1
अगल-बगल,1
चिकित्सा,2
चिकित्सक,2
इम्तिहान,2
गोदाम,1
दक्षिण,1
गहराई,1
अतिथि,1
किरण,1
तपस्या,1
डरपोक,1
चिलचिलाती,2
चिकित्सालय,2
अस्वस्थ,2
अध्ययन,2
कोमल,1
कारखाना,1
गंभीरता,1
गंभीर,1
बीता-हुआ,1
भविष्य,2
मतलब,1
सुधार,1
मौका,1
सिवाय,1
समाप्त,2
चबूतरा,1
घटना,2
दुर्घटना,2
तय,2
थोपना,1
दोहा,1
फिर-से,1
गरीब,1
दुखी,1
दोषी,2
निर्दोष,2
द्वार,1
प्रवेश,1
पाठ,1
जनता,1
सुनहरा,1
तट,1
दिलचस्पी,2
रुचि,2
अभिरुचि,3
सिकुड़,1
तंग,1
भाग्य,1
किस्मत,1
रेंगना,1
सुगंध,2
दुर्गन्ध,2
चोट,1
घाव,1
टपकना,1
दरार,2
शून्य,2
बुद्धिमान,1
होशियार,2
चालाक,1
राज़,2
भेद,2
आज़ादी,2
दलदल,1
रेगिस्तान,2
बेहोश,1
खरोंच,1
चिंता,1
गुस्सा,1
निशान,2
पहचान,1
उदासी,1
लगातार,1
जाँच,2
बेगुनाह,2
धैर्य,2
वेतन,2
कारागार,2
सम्बन्ध,2
कारावास,2
स्वर,2
समूह,2
आकृति,2
तारीफ़,2
कोलाहल,2
केंद्र,2
शाकाहारी,2
तर्क,2
केंद्रित,2
केंद्रिय,2
नद,2
शीर्षक,2
नवयुवती,2
गत,2
समीप,2
शिविर,2
निगाह,2
गति,2
गद्य,2
गर्व,2
हृदय,2
गवाह,2
कर्त्तव्य,2
हसीन,2
हड़ताल,2
होनहार,2
पद्य,2
गवाही,2
अचंभा,2
हिंसक,2
हिम,2
पश्चात,2
हिमनद,2
ऋषि,2
हर्षित,2
ऋतु,2
आधार,2
अभिनय,2
अभिनेता,2
अभिनेत्री,2
घरेलू,2
अचम्भा,2
अचरज,2
ताज्जुब,2
छल,2
आयकर,2
फिर भी,2
प्रदर्शन,2
प्रशिक्षण,2
निरादर,2
मध्याह्न,2
संध्या,2
दुत्कार,2
अनादर,2
बेइज़्ज़ती,2
कपट,2
प्रातःकाल,2
दम्भ,2
अहंकार,2
बनावट,2
आयोजन,2
युवा,2
युवती,2
अभिमान,2
अस्तबल,2
पथ,2
शक्ति,2
प्रातः,2
निर्मल,2
न्याय,2
सामर्थ्य,3
जुल्म,2
शोषण,2
आश्रम,2
कुशलता,2
पश्चिम,2
तजुर्बा,3
बहुधा,3
चुनौती,2
ज़िक्र,2
इंसाफ,2
उपचार,2
वेदना,2
पिछड़ा,2
उपलब्धि,3
उत्सुक,2
फब्ति,2
उपलक्ष्य,3
निकम्मा,2
उद्घाटन,3
निर्णय,2
निश्चय,2
जुदा,2
काल्पनिक,2
पुरातन,2
खातिरदारी,3
प्रिय,2
सत्कार,2
ज्योति,2
विक्रय,2
खातिर,2
कुशल,2
वृद्धावस्था,2
अद्भुत,2
बाजु(2),2
बाँह,2
भुजा,2
अनोखा,2
तरकीब,2
तरु,2
आरम्भ,2
सरल,2
क़तार,2
भौचक्का,2
कारा,2
जाँच-पड़ताल,2
पूर्णिमा,2
अभिभावक,2
परिवर्तन,2
रोक,2
अंकुश(२),2
निरंकुश,2
कपटी,2
विचित्र,2
प्रतीक्षा,2
मक्कार,2
खुशहालि,2
धोखेबाज़,2
निवास,2
फरेब,2
ढुलकना,2
डील-डौल,2
तरल,2
द्रव,2
धूर्त,3
योजना,2
जुगाड़,2
दिक्कत,2
ठिठुर,2
मुसाफिर,2
दीन,2
ठहराव,2
लाचार,2
दीया,2
दीपक,2
बटोही,2
ताना,2
प्रायः,2
ठिठक,2
भ्रमण,3
विनिमय,3
उद्देश्य,3
प्रजा,2
निरुद्देश्य,3
गुनाह,3
दंग,2
यौवन,3
भाप,2
झुर्री,2
अधमरा,2
प्रौढ़,3
अजीबोगरीब,2
परिपक्व,3
पूरी तरह विकसित,2
दुर्भाग्य,2
सौभाग्य,2
अपवित्र,2
विकसित,2
रूढ़िवादी,3
अफ़सोस,3
अतिरिक्त,3
हाँफना,2
तोहफा,2
आत्मविश्वास,2
लकीर,2
रेखा,2
चतुर,2
अधिकार,2
रहस्य,2
गद्दार,2
स्वतंत्रता,2
गद्दारी,2
मुक्ति,2
निडर,2
निर्भय,2
ग्रह,2
उपग्रह,2
अर्थ,2
ठिकाना,2
अरुचि,2
अनिश्चित,2
विश्वास,2
अपराध,2
चित्रण,2
व्यक्तिगत,3
व्यापर,2
निराशा,2
मायूसी,2
अपराधी,2
निंदा,2
नर,2
अम्बर,2
देखरेख,2
नेकी,2
स्नेह,2
बदी,2
निखार,3
लज्जा,3
आदि,2
संकोच,3
हिचकिचाहट,2
झिझक,2
निर्लज्ज,2
निर्णायक,2
अन्याय,2
नीयत,2
पाकशाला,2
वातावरण,2
अंश,2
सहमत,2
विफलता,3
अपनापन,2
उतावला,2
कलंक,2
आकर्षक,3
गतिविधि,3
तीव्र,2
स्पष्ट,2
संकट,2
असमानता,2
अनुमान,2
टिप्पणी,3
तरक्की,2
विपत्ति,2
सतह,2
लड़खड़ाना,2
आंदोलन,3
फुदकना,2
आक्रमण,2
जगमगाना,2
आत्मसम्मान,2
दंडवत,3
आदान-प्रदान,2
समाज,2
संदेह,2
शक,2
शंका,2
आसरा,2
सहयोग,2
कौशल,2
जंजीर,2
बंदोबस्त,3
प्रभाव,2
परख,2
सबक,2
ईर्ष्या,3
वर्ष,2
प्रवीण,3
पक्ष,2
परिणाम,2
स्वादिष्ट,2
स्वस्थ्,2
स्वास्थ्य,2
स्वीकार,2
प्रमाण,3
ईर्ष्यालु,2
पुष्प,2
पेचीदा,3
सार्थक,3
परिभाषा,3
निरर्थक,2
प्रचार,2
प्रचलन,3
स्वीकृति,2
मंजूरी,3
गुहार,2
सहमति,2
लोभ,2
जिम्मेदारी,2
संग्रह,3
उद्यान,3
मूर्छा,2
रखवाला,2
सर्व,2
भ्रम,2
सहानुभूति,3
अनुभूति,3
सार्वजनिक,3
द्वेष,3
संस्कृति,3
समाधान,2
युक्ति,3
संवाद,2
उत्साह,2
समारोह,2
सिंचाई,2
सिंहासन,2
मूल्यवान,2
संसार,2
जग,2
उद्देशय,2
जगत,2
विश्व,2
मंशा,3
कर,2
तिथि,2
बाधा,2
कल्पना,2
सराहना,2
संतोष,2
फरियाद,3
विराम,3
विगत,3
त्रुटि,3
अधिकांश,3
आघात,3
निश्चित,3
हताशा,3
अभिव्यक्त,3
नियंत्रण,3
निहायत,3
पाबंदी,3
धब्बा,3
उद्योग,3
अलविदा,3
निर्देशक,3
ऐंठना,3
पीड़ित,3
वयस्क,3
औपचारिक,3
निरंतर,3
भिन्न,3
पृथक,3
संशय,3
निगरानी,3
आधुनिक,3
आश्रय,3
स्मृति,3
याददाश्त,3
उत्पाद,3
उपकार,3
परोपकार,3
एकत्रित,3
कद काठी,3
अंकित,3
पद्धति,3
निश्चिंत,3
प्रेरणा,3
प्रयत्न,3
तुच्छ,3
तनख्वाह,3
अभिव्यक्ति,3
समस्त,3
विश्वासघात,3
निर्देश,3
अंकुश,3
असहाय,3
शिला,3
दीप,3
नियत,3
उत्पादक,3
दूब,3
नुस्खा,3
उल्लास,3
बेकसूर,3
विनीत,3
पुनः,3
विनम्र,3
ध्येय,3
अभिप्राय,3
आर्थिक,3
परिक्रमा,3
क्षमता,3
अवस्था,3
सौगात,3
गंतव्य,3
प्रायश्चित,3
दूषित,3
अशुद्ध,3
शौक,3
उत्पादन,3
उल्लेख,3
झिलमिलाना,3
आत्मीयता,3
जुर्म,3
संकुचित,3
संकरा,3
बेसब्र,3
आतुर,3
तकदीर,3
नसीब,3
पश्चात्ताप,3
अपयश,3
यश,3
अगुवा,3
प्रोत्साहन,3
गतिशील,3
योग्यता,3
सिंधु,3
योग्य,3
विश्राम,3
सीलन,3
अनूठा,3
अद्वितीय,3
दृढ,3
जिज्ञासा,3
अतीत,3
वर्णन,3
अनंत,3
आंकना,3
विद्वान,3
ध्वनि,3
अनौपचारिक,3
अगुवाई,3
जुलूस,3
झुंझलाहट,3
चिड़चिड़ाहट,3
साहसी,3
परिश्रम,3
प्रकाशित,3
समर्थन,3
अमावस,3
बहुमूल्य,3
मूर्छित,3
तानाशाह,4
संस्मरण,4
स्मरण,4
औद्योगिक,4
जख्म,4
असफलता, 1
